,MA,BE,FO,NA,RE,SA,BR,BH,CI,RJ,SP,CR,FL,PA
MA,0,120,180,180,180,180,180,240,180,300,300,300,360,360
BE,120,0,120,120,120,180,180,240,180,240,240,300,300,360
FO,180,120,0,60,60,120,180,180,240,240,240,300,300,360
NA,180,120,60,0,60,120,180,180,240,240,240,300,300,360
RE,180,120,60,60,0,120,180,180,240,180,180,240,240,300
SA,180,180,120,120,120,0,120,120,180,120,120,180,180,240
BR,180,180,180,180,180,120,0,60,60,120,120,180,180,240
BH,240,240,180,180,180,120,60,0,120,60,60,120,120,180
CI,180,180,240,240,240,180,60,120,0,180,180,180,180,240
RJ,300,240,240,240,180,120,120,60,180,0,60,120,120,180
SP,300,240,240,240,180,120,120,60,180,60,0,60,60,120
CR,300,300,300,300,240,180,180,120,180,120,60,0,60,60
FL,360,300,300,300,240,180,180,120,180,120,60,60,0,60
PA,360,360,360,360,300,240,240,180,240,180,120,60,60,0
